n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,num_total_files,num_sample_files,ref_no_slash
6,0,0,0,9,7,8,1,1,csv,1,0,0,utf-8,0,0,1,15,15,225,0.8464106396277458,0.04300920372860677,0.27143815272587907,15.422222222222224,0.0,0.0,0.0,0.0,0.0,0.6295082997161086,0.0,0.6294476098465671,0,3.045,10437,1,1,szymonjanowski_internet-articles-data-with-users-engagement
2,6,0,0,4,11,1,1,1,csv,1,0,0,utf-8,1,0,1,12,12,144,0.9997511741469939,0.024188899141662664,0.005360123583506993,3.590277777777778,1744.1097907323704,-1.0608311927943885,8.6297432572014,3.271106553238376,0.75,0.8003199030773437,0.05172052401763957,0.8003116045579478,0,2.1959999999999997,96453,1,1,budincsevity_szeged-weather
5,20,0,0,9,3,31,1,0,csv,1,0,0,latin1,0,0,1,34,34,1156,0.7298587239537343,0.06360866379618364,0.06989247311827956,0.08304498269896192,477.5273694503292,0.7446930120256837,14.279095280032216,6.654937462759148,0.8,0.8615611939474496,0.08616479999999999,0.856868217397038,0,3.6559139784946235,186,1,1,lewisduncan93_the-economic-freedom-index
1,0,0,0,11,5,7,1,1,csv,1,0,0,utf-8,1,0,1,12,12,144,0.7675284312010611,0.0081145584725537,0.02433206106870229,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.5326820350450087,0.0,0.5324277715437938,0,1.6440000000000001,2096,1,1,ruchi798_source-based-news-classification
0,0,0,0,1,0,1,1,0,csv,1,0,0,utf-8,1,0,0,1,1,1,0.9728610855565777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2174,1,1,adnanzaidi_urdu-news-headlines
1,0,0,0,3,1,3,1,0,csv,1,0,0,utf-8,0,0,1,4,4,16,0.7533945271417478,0.0004988775255674732,0.005238214018458469,1.3125,0.0,0.0,0.0,0.0,0.0,0.49793951632778344,0.0,0.49781531091088954,0,0.128,4009,1,1,jruvika_fake-news-detection
1,1,0,0,4,5,1,1,1,csv,1,0,0,utf-8,1,0,1,6,6,36,0.9202459070723139,0.001742501190505122,0.30233526011560696,751.4444444444445,4.003795673808732e25,5.030345276931611,65.58436548437936,1682486100.7351284,0.0,0.9148523852555819,0.03136645072868045,0.9148417875169577,0,1.9380000000000002,86500,10,10,docstein_brics-world-bank-indicators
1,1,0,0,4,5,1,1,1,csv,1,0,0,utf-8,1,0,1,6,6,36,0.9027796383121233,0.001772415248725506,0.5823776223776224,1181.6666666666667,4.119947256123973e18,34.07381192740025,2770.954679201184,0.0,0.0,0.9146110836015158,0.053811181656847,0.914598260493752,0,1.3739999999999999,71500,10,10,docstein_brics-world-bank-indicators
1,1,0,0,4,5,1,1,1,csv,1,0,0,utf-8,1,0,1,6,6,36,0.8092996555683123,0.001891906388270357,0.5876923076923077,714.7222222222222,5.590029380228908e21,8.242164777324447,153.91024577901354,0.0,0.0,0.9136458467819464,0.0628875944989265,0.9136241321676337,0,1.398,42250,10,10,docstein_brics-world-bank-indicators
6,2,0,3,15,16,10,1,4,csv,1,0,0,latin1,0,0,1,26,26,676,0.8167772054043458,0.02546824918940889,1.0,117.01331360946747,0.004857252492239148,-1.0413388027963384,5.810620695163044,0.00006662773773700359,0.25,0.41398872389511693,0.005118,0.41306648838928656,0,40.378,20050,1,1,crowdflower_twitter-user-gender-classification
