n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,num_total_files,num_sample_files,ref_no_slash
808,8,0,0,3,228,591,1,18,csv,1,0,0,utf-8,0,0,1,819,819,670761,0.58262162072497,0.0975877192982457,0.08088235294117647,0.0008482902255796031,48216235.517618805,0.006209028291968732,0.024663281481232233,130.4805206903911,0.00980392156862745,0.600209647070983,0.0008543862644607843,0.5993269858252891,0,16710.008823529297,680,6,6,rajanand_education-in-india
0,0,0,0,2,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.9969549330085262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007308160779537149,821,6,6,rajanand_education-in-india
806,8,0,0,2,44,772,1,16,csv,1,0,0,utf-8,0,0,0,816,816,665856,0.8853986758779494,0.1275252525252525,0.0,0.0,1.9359548172225254,0.011213251001055276,0.027847409378808353,0.06540291154791156,0.009828009828009828,0.21626984126984122,0.0029572727272727277,0.21026234567901242,0,56734.66666666662,36,6,6,rajanand_education-in-india
0,0,0,0,2,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.9883578431372548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00980392156862745,816,6,6,rajanand_education-in-india
620,8,0,0,2,41,589,1,10,csv,1,0,0,utf-8,0,0,1,630,630,396900,0.8566255192203982,0.1383961566888396,0.4444444444444444,0.0007659360040312408,3052551.900543022,0.010469046710853663,0.011876700614096415,25.73373584394904,0.012738853503184714,0.25766367451064537,0.004219644267515923,0.24882620318110898,0,24482.5,36,6,6,rajanand_education-in-india
0,0,0,0,2,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.9507936507936507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05396825396825397,630,6,6,rajanand_education-in-india
151,0,0,0,19,168,2,1,0,csv,1,0,0,utf-8,0,0,1,170,170,28900,0.75,0.0018809398761947874,1.0,0.3024567474048443,0.0,0.0,0.0,0.0,0.0,0.23724290705643603,0.0,0.23707669217284782,0,110.87822014051523,1765,1,1,datahackers_pesquisa-data-hackers-2019
16,0,0,0,17,33,0,1,1,csv,1,0,0,utf-8,0,0,0,33,33,1089,0.0,0.014499424626006908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561781537017674,0.0,0.5603593052783886,0,0.0,395,2,2,whenamancodes_alcohol-effects-on-study
16,0,0,0,17,33,0,1,1,csv,1,0,0,utf-8,0,0,0,33,33,1089,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5597033509206082,0.0,0.5588409420594055,0,0.0,649,2,2,whenamancodes_alcohol-effects-on-study
5,12,0,1,5,5,18,1,0,csv,1,0,0,utf-8,0,0,1,23,23,529,0.8813135531426906,0.023448275862068966,0.006896551724137931,0.003780718336483932,1671.1424821265625,0.4877703045980488,1.3552879563477267,8.014959149616363,0.6470588235294118,0.6207326094738098,0.07927000000000001,0.6185921521997623,0,31.43927932227658,290,1,1,edx_course-study
29,5,0,0,1,35,0,1,0,csv,1,0,0,utf-8,0,0,0,35,35,1225,0.0,0.013736760526995608,0.0,0.0,1.9046925914197899,-0.08266130087011835,-0.06075397073810733,0.19793864555864546,0.14705882352941177,0.5659782478487636,0.02271133098894453,0.5658503142484376,0,0.10500000000000001,4424,1,1,thedevastator_higher-education-predictors-of-student-retention
1,1,0,0,0,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.92,0.0,0.0,0.0,3.0605279999999997,0.08936103194593728,-0.6434178203222618,1.0530000000000002,0.5,0.0,0.0,0.0,0,0.0,25,1,1,himanshunakrani_student-study-hours
3,0,0,0,8,10,1,1,1,csv,1,0,0,utf-8,0,0,0,11,11,121,1.0,0.013408345053914672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7310188593609402,0.0,0.7306761407208271,0,0.044,2133,1,1,kwadwoofosu_predict-test-scores-of-students
7,3,0,0,10,12,8,1,3,csv,1,0,0,utf-8,0,0,1,20,20,400,0.8857657260435038,0.023014299135320247,0.10310111699000588,14.250000000000004,0.3223378073225797,-0.8214396511280679,2.2897017047040604,0.09334650726634615,0.3,0.4238403658751781,0.014505760000000001,0.4238086413473998,0,16.259999999999998,13608,1,1,jilkothari_finance-accounting-courses-udemy-13k-course
38,0,0,0,43,70,11,1,1,csv,1,0,0,utf-8,0,0,1,81,81,6561,0.506525632185091,0.023794843156494144,1.0,1.1932632220698063,0.0,0.0,0.0,0.0,0.0,0.4345810327897655,0.0,0.4325776257999365,0,21.707999999999995,1460,1,1,dansbecker_home-data-for-ml-course
26,0,0,0,9,31,4,1,4,csv,1,0,0,utf-8,0,0,0,35,35,1225,0.8727891156462584,0.008207153829273643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344149957134745,0.0,0.6339834208864586,0,9.379999999999999,1470,1,1,patelprashant_employee-attrition
