n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,num_total_files,num_sample_files,ref_no_slash
2,1,0,0,3,5,1,1,0,csv,1,0,0,utf-8,1,0,1,6,6,36,0.3713657944573364,0.003182073180230181,0.17952666666666667,1588.3333333333333,25911.71975322784,1.4238139019337712,7.702812219091418,24.43768356980688,0.3333333333333333,0.8008705270572332,0.0067876,0.8008677387963224,0,0.054,300000,1,1,PromptCloudHQ_amazon-reviews-unlocked-mobile-phones
5,1,0,0,1,3,4,1,0,csv,1,0,0,utf-8,1,0,1,7,7,49,0.4512097764676984,0.13405797101449277,0.480225988700565,10.40816326530612,2.4919462822936365,0.48343149140928016,2.1972558139950933,0.0,0.0,0.5413282369804109,0.041666666666666664,0.5354442344045368,0,0.623741095553918,177,3,3,starbucks_starbucks-menu
0,0,0,0,6,6,0,1,6,csv,1,0,0,latin1,1,1,1,6,6,36,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,114,3,3,starbucks_starbucks-menu
6,3,0,0,9,15,3,1,0,csv,1,0,0,utf-8,0,0,1,18,18,324,0.2699724517906336,0.07745161917172477,0.004132231404958678,0.0030864197530864196,2.9243774711806276,0.4706034901857272,0.5698431738497557,0.38839450317124735,0.3333333333333333,0.8011579202054495,0.035555555555555556,0.7978462949942896,0,3.425191180000686,242,3,3,starbucks_starbucks-menu
14,3,0,0,0,13,4,1,2,csv,1,0,0,utf-8,0,0,0,17,17,289,0.78,0.023846153846153847,0.0,0.0,0.004195986344601765,0.3327411542938789,1.0059103717895899,0.005308809549712275,0.17647058823529413,0.32646464646464646,0.10060166650958666,0.3232,0,0.0,100,2,2,azeembootwala_titanic
14,3,0,0,0,14,3,1,2,csv,1,0,0,utf-8,0,0,0,17,17,289,0.7643097643097643,0.010642135642135637,0.0,0.0,0.003562030130550027,0.45901969485949107,2.379311728103742,0.005270681293337944,0.17647058823529413,0.38041855251084084,0.0259101584431402,0.37993822605565036,0,0.3434343434343434,792,2,2,azeembootwala_titanic
0,6,0,0,2,0,8,1,1,csv,1,0,0,utf-8,0,0,0,8,8,64,0.8713235294117647,0.0,0.0,0.0,256.2469445305972,0.7538139814784982,-0.06607614460498479,8.435095194444445,1.0,0.0,0.21011666666666665,0.0,0,0.39215686274509803,102,2,2,ophi_mpi
0,4,0,0,4,4,4,1,1,csv,1,0,0,utf-8,0,0,1,8,8,64,0.5813793844957778,0.05995934959349594,0.0010162601626016261,0.015625,240.68058042457176,0.6232756978271162,-0.5213110181364823,7.660716818362478,1.0,0.9179584439537172,0.22699521550864846,0.9170255593562027,0,0.5528537991381948,984,2,2,ophi_mpi
4,0,0,0,0,1,3,1,0,parquet,1,0,0,utf-8,1,0,0,4,4,16,0.6661544444444444,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16716104980349936,0.0,0.1671604926,0,1.74,300000,2,2,radek1_otto-full-optimized-memory-footprint
319,54,0,0,81,452,2,1,75,csv,1,0,0,utf-8,0,0,1,454,454,206116,0.37364069105691056,0.15936781237465492,1.0,361.01787828213236,6.940672198749115e10,0.4698291333977772,140.97047824342067,309.5566146577056,0.1447721179624665,0.45220624276443466,0.011600006289094718,0.4521127701432342,0,264.68200000000013,300000,5,5,cdc_behavioral-risk-factor-surveillance-system
301,20,0,0,38,357,2,1,30,csv,1,0,0,utf-8,0,0,1,359,359,128881,0.44593160082093386,0.07442561024294797,1.0,430.3653913299866,1.1333259660914198e11,1.2588794077331888,475.9098618880345,507.53909007180755,0.06230529595015576,0.4770604012914679,0.003886405942863605,0.47702407780961587,0,167.29400000000004,300000,5,5,cdc_behavioral-risk-factor-surveillance-system
270,49,0,0,17,334,2,1,15,csv,1,0,0,utf-8,0,0,1,336,336,112896,0.5090158365438948,0.017416122666107134,1.0,351.9083669926301,669798.606777072,1.1097827702197045,198.71343010355665,14.62405374091747,0.1536050156739812,0.5128984652507405,0.01281071388010425,0.5127897405796897,0,224.1323096500532,300000,5,5,cdc_behavioral-risk-factor-surveillance-system
257,13,0,0,9,277,2,1,8,csv,1,0,0,utf-8,0,0,1,279,279,77841,0.48744456136542696,0.006155020783303705,1.0,474.69811538906237,64420.23999690546,0.23149493284080636,3.4765628086722735,2.317054081550119,0.04814814814814815,0.4791109962738769,0.0031956596960934216,0.4790146386373386,0,134.199,300000,5,5,cdc_behavioral-risk-factor-surveillance-system
274,45,0,0,11,328,2,1,10,csv,1,0,0,utf-8,0,0,1,330,330,108900,0.5148193876151775,0.014641937355767968,1.0,405.5858218549131,2631176.4858858506,0.9048192831301975,178.98640121808472,15.050813591250922,0.14106583072100312,0.5238396188380806,0.01241180093064435,0.5237190734624628,0,149.82000000000016,300000,5,5,cdc_behavioral-risk-factor-surveillance-system
79,1,0,1,104,180,5,1,27,csv,1,0,0,utf-8,0,0,1,185,185,34225,0.8548516172057351,0.0032837016784230673,1.0,2.0678451424397366,1.3937167015494377e12,0.0902611887628185,1.0468048121715583,10548.806139880626,0.0125,0.4806814181956726,0.00029413386392756216,0.4806513265154856,0,165.57500000000013,17994,1,1,kevinmh_fifa-18-more-complete-player-dataset
0,0,0,0,8,2,6,1,0,csv,1,0,0,utf-8,0,0,1,8,8,64,0.87746274840495,0.031185738268830483,0.000025795990566037737,0.109375,0.0,0.0,0.0,0.0,0.0,0.9766282591461901,0.0,0.9766246601195101,0,3.328,271360,3,3,arashnic_book-recommendation-dataset
2,0,0,0,1,2,1,1,0,csv,1,0,0,utf-8,0,0,0,3,3,9,0.47463333333333335,0.046448333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8019915563718546,0.0,0.801988883066824,0,0.528,300000,3,3,arashnic_book-recommendation-dataset
2,0,0,0,1,1,2,1,1,csv,1,0,0,utf-8,0,0,1,3,3,9,0.6028103909516671,0.0009815819531696173,0.3971985741847105,12306.888888888889,0.0,0.0,0.0,0.0,0.0,0.9781569942452123,0.0,0.9781511752073178,0,1.9980000000000002,278858,3,3,arashnic_book-recommendation-dataset
