n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,num_total_files,num_sample_files,ref_no_slash
3,2,0,0,4,5,4,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5041528239202657,0.01727574750830565,0.0,0.0,20.044326458268674,1.3087506966867668,7.978580634632712,1.4499911999999968,0.4,0.39396677740863784,0.0583,0.39265791768302777,0,1.973421926910299,301,4,4,nehalbirla_vehicle-dataset-from-cardekho
3,0,0,0,5,7,1,1,0,csv,1,0,0,utf-8,1,0,0,8,8,64,0.3435483870967742,0.04137590520079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408008203987868,0.0,0.6406531704401656,0,4.904000000000001,4340,4,4,nehalbirla_vehicle-dataset-from-cardekho
4,0,0,0,9,12,1,1,0,csv,1,0,0,utf-8,1,0,1,13,13,169,0.2531988188976378,0.030375963279779178,0.027312992125984252,6.50887573964497,0.0,0.0,0.0,0.0,0.0,0.7229756733872351,0.0,0.7228855081063416,0,8.424,8128,4,4,nehalbirla_vehicle-dataset-from-cardekho
7,1,0,0,12,17,3,1,0,csv,1,0,0,utf-8,0,0,1,20,20,400,0.40731746802655006,0.046651051348711586,0.08984944147644487,1.8625,28.5250938141353,0.10654318206784098,0.043896303939272185,1.2618018695014661,0.125,0.7406657002096295,0.00107125,0.7402970642972883,0,14.639999999999997,2059,4,4,nehalbirla_vehicle-dataset-from-cardekho
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5148575178102737,0.002852322031174675,0.0,0.0,28.007440836100496,0.5075117050671462,2.9602401259236575,1.5422592790519367,0.3333333333333333,0.752411631962148,0.003087666666666667,0.7523411021878731,0,2.52,10668,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5501808737593915,0.0028356765208634237,0.0,0.0,163.70309617425866,1.7465496609839672,20.473305334824207,1.5146565131562533,0.3333333333333333,0.7225705454617241,0.0030431666666666667,0.7225035228714762,0,2.8349999999999995,10781,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
3,1,0,0,3,5,2,1,1,csv,1,0,0,utf-8,1,0,0,7,7,49,0.647473711208002,0.0024621697871249036,0.0,0.0,0.05946447326936408,0.8087215223865992,4.414785039711727,0.02421962224695163,0.25,0.5079067122103509,0.0065,0.5077764463185297,0,1.5399999999999998,3899,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
3,1,0,0,3,5,2,1,1,csv,1,0,0,utf-8,1,0,0,7,7,49,0.5464796479647964,0.00121012101210121,0.0,0.0,0.04003926327726283,0.12608987202317015,-0.17321882659301313,0.12463535331541602,0.25,0.4363969436860552,0.0055,0.4363169295783019,0,2.457,5454,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,8,1,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.7530197606457,0.025786251043696074,0.0,0.0,17.11944096955696,0.4161267783463005,3.7873399248393533,1.1230599811081328,0.3333333333333333,0.7074973446289555,0.0021753333333333334,0.7074579626448544,0,4.041,17965,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5912551440329218,0.00411522633744856,0.0,0.0,27.055663904412725,0.4423124332647657,6.66722660932308,1.1008188317827623,0.3333333333333333,0.7323432132400598,0.0048066666666666666,0.732192525336101,0,3.573,4860,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5389130269075387,0.0026787756035412105,0.0,0.0,38.660148208137564,0.7154765055440672,4.215453215585168,1.5580421569786151,0.3333333333333333,0.7205169820389961,0.0030241666666666668,0.7204620603999964,0,2.1689999999999996,13119,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5535343864688048,0.002940573069821514,0.0,0.0,24.17265777021611,0.676907231218165,7.017203075383775,1.1142874153460618,0.3333333333333333,0.722800379393202,0.0040935,0.7226850450419346,0,3.42,6267,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5797714455327991,0.0037102997922232113,0.0,0.0,41.82572935488903,0.7198380211291503,6.23408358386346,1.2723485919052007,0.3333333333333333,0.7486523285432064,0.00607,0.7485412195600448,0,3.4470000000000005,6738,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
1,0,0,0,10,8,3,1,1,csv,1,0,0,utf-8,1,1,1,11,11,121,0.768752097076353,0.010595442127175168,0.6984523215177234,33.46280991735537,0.0,0.0,0.0,0.0,0.0,0.6349277880346604,0.0,0.6347093029292572,0,10.758,4006,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
1,0,0,0,10,8,3,1,1,csv,1,0,0,utf-8,1,1,1,11,11,121,0.7312332761559738,0.009475897139986408,0.766773733047823,54.595041322314046,0.0,0.0,0.0,0.0,0.0,0.5970513293297477,0.0,0.5969085744386914,0,10.934,5604,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.48881308685446007,0.0017605633802816902,0.0,0.0,16.687665998100154,0.3715825217352274,5.232478230546817,1.0620710805160782,0.3333333333333333,0.6554042529084467,0.0016706666666666667,0.6553561745448236,0,3.438,13632,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,3,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.4859140990961272,0.0017436545113526047,0.0,0.0,31.05166814706301,0.6965004076975658,5.138125239807168,1.2327358478719932,0.3333333333333333,0.7347581619860353,0.002722,0.7347096854958337,0,3.1590000000000003,15157,13,13,adityadesai13_used-car-dataset-ford-and-mercedes
8,8,0,0,10,16,10,1,1,csv,1,0,0,utf-8,0,0,0,26,26,676,0.5053658536585366,0.07103658536585367,0.0,0.0,3969415.6159621268,0.36556775070394476,0.6481809017385415,207.28399568452355,0.5,0.6292832376853181,0.044354580625,0.6262135633551457,0,3.297560975609756,205,2,2,hellbuoy_car-price-prediction
5,0,0,0,8,8,5,1,1,csv,1,0,0,utf-8,0,0,0,13,13,169,0.8577831132452982,0.016456582633053222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6438745634362633,0.0,0.643616910549734,0,16.783,2499,1,1,doaaalsenani_usa-cers-dataset
16,0,0,0,17,33,0,1,1,csv,1,0,0,utf-8,0,0,0,33,33,1089,0.0,0.014499424626006908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561781537017674,0.0,0.5603593052783886,0,0.0,395,1,1,dipam7_student-grade-prediction
1,5,0,1,0,0,7,1,1,csv,1,0,0,utf-8,0,0,0,7,7,49,0.9255558183538317,0.0,0.0,0.0,11787.895646890922,0.0033669600864411494,-0.5321974325553455,74.91899368942592,0.8333333333333334,0.0,0.12177247733333334,0.0,0,5.026,2416,1,1,timoboz_tesla-stock-data-from-2010-to-2020
2,0,0,0,6,8,0,1,0,csv,1,0,0,utf-8,0,0,0,8,8,64,0.0,0.019492664384411062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8776088294892668,0.0,0.8776062984096268,0,2.208,346733,1,1,akhilv11_border-crossing-entry-data
86,0,0,0,1,87,0,1,1,csv,1,0,0,utf-8,1,0,0,87,87,7569,0.0,0.0007653473202311487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4308872139075777,0.0,0.430843344307302,0,0.0,9822,1,1,uciml_caravan-insurance-challenge
3,4,0,0,5,11,1,1,0,csv,1,0,0,utf-8,1,0,0,12,12,144,0.27799593771157755,0.013159352495845385,0.0,0.0,3.9138264109517418,0.5128555354312762,0.6372075613311164,0.9059457842170673,0.5714285714285714,0.8927148113884645,0.011542857142857143,0.892593929220369,0,0.6120000000000001,7385,2,2,debajyotipodder_co2-emission-by-vehicles
0,0,0,0,2,1,1,1,0,csv,1,0,0,utf-8,0,0,1,2,2,4,1.0,1.0,0.7368421052631579,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8000000000000002,0,0.0,19,2,2,debajyotipodder_co2-emission-by-vehicles
1,5,0,1,0,0,7,1,1,csv,1,0,0,utf-8,0,0,0,7,7,49,0.9382252395396985,0.0,0.0,0.0,54581.545487014664,1.9726329982802646,3.708935278775016,18.572799605586084,0.8333333333333334,0.0,0.11295638003333335,0.0,0,1.792,2967,1,1,surajjha101_tesla-share-price-for-last-5-years
5,2,0,0,23,30,0,1,0,csv,1,0,0,utf-8,1,0,1,30,30,900,0.0,0.009812026537522426,0.00025953128649658716,0.01111111111111111,5902866.629539111,0.6120233146893183,1.9496419728875731,441.23593677351437,0.2857142857142857,0.5786150399803845,0.0037354714285714285,0.5786000229073129,0,2.52,38531,1,1,lepchenkov_usedcarscatalog
2,2,0,0,6,10,0,1,0,csv,1,0,0,latin1,1,0,1,10,10,100,0.0,0.030949493279456775,0.08740601503759399,9.45,145265955.4436637,5.577537224190946,83.3385666017137,1286.9950114634648,0.5,0.7910089374340279,0.012647898815,0.7909255385273155,0,1.35,9576,1,1,antfarol_car-sale-advertisements
6,1,0,0,7,6,8,1,0,csv,1,0,0,utf-8,0,0,1,14,14,196,0.5564939568060233,0.05016181229773462,0.04854368932038835,0.025510204081632654,1.2880699675477694,0.17529998268150362,0.6437104759404955,0.24432499999999993,0.14285714285714285,0.4994923535757345,0.024,0.4946429132497565,0,3.8127600554785017,103,2,2,geoffnel_evs-one-electric-vehicle-dataset
2,0,0,0,12,6,8,1,0,csv,1,0,0,utf-8,0,0,1,14,14,196,0.5564939568060233,0.05016181229773462,0.04854368932038835,0.025510204081632654,0.0,0.0,0.0,0.0,0.0,0.4994923535757345,0.0,0.4946429132497565,0,1.4951456310679614,103,2,2,geoffnel_evs-one-electric-vehicle-dataset
6,0,0,0,12,16,2,1,0,csv,1,0,0,utf-8,1,0,1,18,18,324,0.6916619015438998,0.016273939942817603,0.3024899932421895,17.959876543209877,0.0,0.0,0.0,0.0,0.0,0.665029806642356,0.0,0.6649938440200069,0,5.111999999999999,19237,1,1,deepcontractor_car-price-prediction-challenge
0,0,0,1,1,1,1,1,2,csv,1,0,0,utf-8,0,0,0,2,2,4,1.0,0.00038066235249333843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2627,3,3,vetrirah_customer
3,0,0,1,6,9,1,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,1.0,0.005007460677102224,0.18005329272934906,5.26,0.0,0.0,0.0,0.0,0.0,0.6584016808247635,0.0,0.6581444305931337,0,0.0,2627,3,3,vetrirah_customer
4,0,0,0,7,10,1,1,0,csv,1,0,0,utf-8,0,0,1,11,11,121,1.0,0.0015167272980958343,0.1738968765493307,13.074380165289256,0.0,0.0,0.0,0.0,0.0,0.6666938147912267,0.0,0.6666092652460245,0,0.0,8068,3,3,vetrirah_customer
4,2,0,0,4,8,2,1,1,csv,1,0,0,utf-8,0,0,0,10,10,100,0.9165419161676647,0.014174775449101796,0.0,0.0,207.34941707434686,1.7979310284710956,19.14965453672704,1.453242837434887,0.3333333333333333,0.811900721208276,0.007621666666666666,0.8115968661479436,0,1.6500000000000001,2672,4,4,kukuroo3_used-car-price-dataset-competition-format
4,2,0,0,4,8,2,1,0,csv,1,0,0,utf-8,0,0,0,10,10,100,0.8931451612903225,0.008442540322580645,0.0,0.0,213.0296587416401,1.7789139425340277,18.299916313614375,1.4523575278706697,0.3333333333333333,0.8120248842931392,0.0055808333333333335,0.811861169598725,0,1.7300000000000002,4960,4,4,kukuroo3_used-car-price-dataset-competition-format
2,0,0,0,0,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.7297379032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.242,4960,4,4,kukuroo3_used-car-price-dataset-competition-format
2,0,0,0,0,0,2,1,1,csv,1,0,0,utf-8,0,0,0,2,2,4,0.7836826347305389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.226,2672,4,4,kukuroo3_used-car-price-dataset-competition-format
2,5,0,0,4,9,2,1,2,csv,1,0,0,utf-8,0,0,1,11,11,121,0.8462164116158573,0.016070705818998922,0.018496204361971323,2.71900826446281,0.4959257207586568,12.929715448702703,461.0997447991261,0.033395242115862624,0.7142857142857143,0.8741407108873234,0.01374857142857143,0.8740879176602587,0,3.487,16598,1,1,gregorut_videogamesales
9,0,0,0,4,10,3,1,2,csv,1,0,0,utf-8,0,0,1,13,13,169,0.7170833333333334,0.08422282608695651,0.4825,2.2840236686390534,0.0,0.0,0.0,0.0,0.0,0.8617556666520123,0.0,0.8605731675622534,0,0.5362499999999999,800,1,1,abcsds_pokemon
6,0,0,0,10,10,6,1,0,csv,1,0,0,utf-8,1,0,0,16,16,256,0.6908216173098015,0.027530162528666864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8121000129191083,0.0,0.8120595253324666,0,37.279999999999994,20058,1,1,datasnaek_chess
13,21,0,0,7,34,7,1,2,csv,1,0,0,utf-8,0,0,1,41,41,1681,0.7326165596461529,0.03355575293446676,0.5767790262172284,0.3105294467578822,363.55105720453423,0.9514379772266401,4.584521600467759,0.7319897495116132,0.6176470588235294,0.672993698312618,0.018706176470588236,0.6721195539676824,0,61.47440699126093,801,1,1,rounakbanik_pokemon
