n_int_features,n_float_features,n_string_features,n_datetime_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,is_file_structured,is_file_semi_structured,is_file_unstructured,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
0,10,0,0,1,12,1,2,1,0,0,0,0,0,13,13,169,0.9925690021231423,0.06369426751592357,0.0,0.0,0.45234036555901325,0.006356527149214783,-0.12479923790200664,0.4004325782500001,1.0,0.8497468561162829,0.13322402,0.8443344557588544,0,0.3312101910828026,157,unsdsn_world-happiness
0,10,0,0,0,12,1,2,1,0,0,0,0,0,12,12,144,0.9978494623655915,0.0,0.0,0.0,0.4429962396321597,-0.059684388326150396,0.14660742259123896,0.3600640874905737,1.0,0.0,0.2805640610240209,0.0,0,7.974193548387096,155,unsdsn_world-happiness
0,6,0,0,0,9,1,2,1,0,0,0,0,0,9,9,81,0.9052706552706553,0.0,0.0,0.0,0.264244777805172,-0.28501305671148436,0.13999955118962423,0.28470700000000004,1.0,0.0,0.13786666666666667,0.0,0,0.28846153846153844,156,unsdsn_world-happiness
0,7,0,0,0,9,1,2,1,0,0,0,0,0,9,9,81,0.8817663817663818,0.0,0.0,0.0,0.22489651411195638,-0.05823802853379445,0.3862839361356312,0.24190990238095236,1.0,0.0,0.1457,0.0,0,0.23076923076923075,156,unsdsn_world-happiness
0,5,0,0,9,2,1,2,1,0,0,0,0,0,11,11,121,0.8462164116158573,0.016066192713981603,0.0,0.0,0.6942960090621682,18.101601628183783,645.5396427187765,0.046753338962207666,1.0,0.8743300532797765,0.019248,0.8742773764480289,0,3.9930000000000003,16598,gregorut_videogamesales
0,1,0,0,12,2,1,1,1,0,0,1,0,0,14,14,196,0.400990099009901,0.04317931793179317,0.0,0.0,1.3436460477730934,1.263425524589162,1.5301925815010042,0.796350738150738,1.0,0.6091950254628111,0.16,0.60718448082432,0,1.0165016501650164,303,rashikrahmanpritom_heart-attack-analysis-prediction-dataset
0,2,0,0,6,3,1,0,1,0,0,0,0,0,9,9,81,0.4127604166666667,0.06618923611111112,0.0,0.0,31.094341087604906,0.7440079624650122,4.406024733956247,2.3923178,1.0,0.8595883356873824,0.05631,0.8584690800419557,0,0.80859375,768,uciml_pima-indians-diabetes-database
0,1,0,0,10,3,1,0,1,0,0,1,0,1,13,13,169,0.568708033927599,0.020268466033625372,0.13661101374411955,8.798816568047338,0.288801570500547,0.5955413598639158,65.95891881743069,0.20519782125474254,1.0,0.7198830307860222,0.01,0.7198152829493093,0,3.1719999999999997,10841,lava18_google-play-store-apps
0,2,0,0,4,1,1,1,1,0,0,1,0,1,5,5,25,0.7479627007240762,0.0789049050903281,0.417886305311455,4298.280000000001,0.09549038391027495,-0.2054550766944448,0.18195112371110955,0.17008709873644678,1.0,0.8680149223579725,0.17598996824392107,0.8679945199306949,0,0.71,64295,lava18_google-play-store-apps
0,3,0,1,10,6,1,1,1,0,0,0,0,1,16,16,256,0.6118417287048206,0.010699595314883875,0.20615604867573373,78.69921875,0.9429721562723831,1.5504659165458383,15.885853981690024,0.22367622710154525,0.6666666666666666,0.8252437287607162,0.011290558000000001,0.8252258003199067,0,13.552000000000001,48895,dgomonov_new-york-city-airbnb-open-data
