n_int_features,n_float_features,n_string_features,n_datetime_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,is_file_structured,is_file_semi_structured,is_file_unstructured,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,ref_no_slash
0,0,0,0,8,1,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,9,9,81,0.9870713392833728,0.008139441747435174,0.000026224463928249866,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.967894780873298,0.0,0.9678863200046992,0,1.4129999999999998,natigmamishov_advanced-graduates
0,3,0,0,0,4,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,16,0.8200000000000001,0.0,0.0,0.0,4.013184,0.5034239373719283,-0.8157945936920301,1.401644444444444,1.0,0.0,0.25666666666666665,0.0,0,0.0,parisanahmadi_linear-regression
0,1,0,0,5,4,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,9,9,81,0.5425,0.030651162790697673,0.57,0.7037037037037037,184.25173333530398,-0.14818802139719026,-0.28484614878830117,10.522500000000008,1.0,0.49252525252525253,1.259536504,0.48760000000000014,0,0.0,shadeemkhun_student-grouping-using-classification-method
0,2,0,0,1,2,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,9,0.9444444444444444,0.1111111111111111,0.0,0.0,1.1460478737997257,0.0677437163126701,-1.2697686815203206,0.9347300000000001,1.0,0.6381766381766382,0.3125,0.6145404663923182,0,0.0,mlomuscio_student-data
0,2,0,0,7,5,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,12,12,144,0.618181818181818,0.1038961038961039,0.0,0.0,0.10041540495867768,-0.7601620883865846,0.5355137014028255,0.2255962499999999,1.0,0.6815776815776815,0.157,0.6691853600944511,0,0.0,ukveteran_gpa-and-medical-school-admission
0,0,0,0,38,1,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,39,39,1521,1.0,0.0006223684210526312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733814744684603,0.0,0.7337780539473684,0,8.033999999999999,davincisdata_careerdataset
0,0,0,0,6,0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,6,6,36,0.0,1.0,0.375,0.13888888888888887,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8555555555555556,0,10.65,mrasyidg_gpu-programming-matrix-multiplication-results
0,0,0,0,0,2,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,2,2,4,0.9006738939349546,0.0,0.03287050155851516,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1,zerowith_spellcorrect
0,0,0,0,7,4,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,11,11,121,0.9276327260448806,0.024937245333967906,0.09980332677755925,61.12396694214875,0.0,0.0,0.0,0.0,0.0,0.8634681798154242,0.0,0.8634385650309012,0,3.157,tomsujithm_naukri-dataset
0,0,0,0,6,0,2.0,0,1.0,0.0,0.0,1.0,0.0,0.0,6,6,36,0.0,0.04282868525896414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9031550766028608,0.0,0.9022555197536547,0,0.084,skaman_college-admission-prediction
0,5,0,0,14,2,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,16,16,256,0.38711489088575096,0.060776947990716625,0.46357509627727855,44.37109375,422.96588982335817,11.694023335177537,957.0742343300223,6.851639082673157,0.0,0.8704156040306575,0.050231211955813815,0.8703421796441256,0,3.12,pmp1321_high-school-football-combine
0,4,0,0,9,1,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,10,10,100,1.0,0.002146821656717981,0.0,0.0,26.69663760947028,2.7388150140238743,32.66823984437892,2.3785118197115778,1.0,0.7134490474580046,0.048559251,0.7133369756629278,0,0.03,akashadesai_extramarital-affairs-dataset
0,0,0,0,8,0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,8,8,64,0.0,0.030974162011173187,0.642,10.03125,0.0,0.0,0.0,0.0,0.0,0.6851081081081081,0.0,0.6844229999999998,0,0.0,gustavomartinez92_student-performance
0,4,0,0,13,12,1.3333333333333333,3,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,25,25,269,0.8257054337740678,0.037245602465159,1.5864788233209286,3.1451254973982246,999.3418895950839,1.549462019439176,8.52175147335671,5.1231861600717385,0.16666666666666666,0.4988969377450405,0.09072038333333333,0.497920899997873,0,21.31738551552793,shalinir19bei0017_test-and-train-for-titanic-kaggle
0,0,0,0,3,2,2.0,0,1.0,0.0,0.0,1.0,0.0,0.0,5,5,25,0.9985812081013017,0.010676409037704395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934926535649763,0.0,0.7934785810531099,0,4.87,kunwarvirsingh_fakerealnewssourcedatasetselfprepared
0,40,0,0,40,30,1.0,7,0.8333333333333334,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,70,70,1358,0.48241416544901083,0.8645254479227771,2.499564720053891,367.11662088111353,2348427.0872646538,5.745676642734786,341.85115383582894,16.416212410554746,0.2380952380952381,0.7492082600344036,0.13397342834954287,0.7295876441350564,0,21.86543979618552,abhi8923shriv_worlduniversityrankings
0,0,0,0,7,17,2.0,3,1.0,0.0,0.0,0.0,0.0,1.0,24,24,576,0.8619145669538474,0.03570211684433488,1.0,8.076388888888888,0.0,0.0,0.0,0.0,0.0,0.44276694347650075,0.0,0.44196757194433384,0,45.27583160438059,dpixton_byu-engineering-publications-in-scopus-201721
0,0,0,1,4,8,1.5,7,1.0,0.0,0.0,0.0,0.0,0.5,12,12,74,0.936322746880196,0.33437424043207575,0.9994861253854059,19.887755102040813,0.0,0.0,0.0,0.0,0.0,0.10730969389845788,0.0,0.1072722254299179,0,0.043,spiliopoulos_crawling-scraping-results
0,0,0,0,4,0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,4,4,16,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954545454545454,0.0,0.6322314049586777,0,0.0,drnitinmishra_student
0,1,0,0,0,2,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,4,0.92,0.0,0.0,0.0,6.121055999999999,0.17872206389187456,-1.2868356406445236,2.1060000000000003,1.0,0.0,0.0,0.0,0,0.0,jairaj0101_study-vs-score
0,0,0,0,0,6,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,6,6,36,0.7213904121274158,0.0,0.9999122614608467,174745.47222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06060606060606061,kaiyic_steam-hardware-survey-may-2021
0,0,0,0,13,5,1.5,2,1.0,0.0,0.0,0.5,0.0,0.5,18,18,234,0.732583654229186,0.000786776480575445,0.908695652173913,11.611111111111112,0.0,0.0,0.0,0.0,0.0,0.4060857130299651,0.0,0.4060842151998373,0,10.880217391304347,shwetamurugesan_case-study-part-1
0,6,0,1,172,1083,1.3333333333333333,58,1.0,0.0,0.0,0.0,0.0,1.0,1255,1255,764209,0.8304687595574913,0.17103609640226825,1.8460707314806206,0.058514745330400464,3754508.481794054,0.29327515131160753,1.465503072536585,235.94088196681585,0.0,0.16646774858334448,0.1671107549626009,0.16560995505744255,0,54934.18622954955,sandeep2812_covid19casestudyjohnshopkinsuniversitydaily
0,0,0,0,6,1,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,7,7,49,1.0,0.05352799726622701,0.6223175965665236,9.020408163265305,0.0,0.0,0.0,0.0,0.0,0.6058404803959014,0.0,0.6018658253660949,0,0.0,sampledemoproject_covid-study-impact-data
0,0,0,0,5,2,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,7,7,49,1.0,0.0008107012565869477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995817294368388,0.0,0.4993792236689276,0,0.007,manjarinandimajumdar_essayscsv
