n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
9,0,0,0,1,0,10,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,0.977124183006536,0.0,0.09259259259259259,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.148148148148149,54,anandhuh_covid-in-african-countries-latest-data
5,0,0,0,1,0,6,1,1,csv,1,0,0,utf-8,0,0,0,6,6,36,0.8854166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5625,32,parulpandey_coronavirus-cases-in-india
0,2,0,0,2,1,3,1,1,csv,1,0,0,utf-8,0,0,1,4,4,16,0.9907407407407408,1.0,1.0,2.25,50.20135536529867,0.046840254476576915,-1.0077630252667962,4.228341760734999,1.0,0.0,0.91789029995,0.0,0,0.1111111111111111,36,parulpandey_coronavirus-cases-in-india
3,0,0,1,0,0,4,1,3,csv,1,0,0,utf-8,0,0,1,4,4,16,0.8210526315789474,0.0,0.4631578947368421,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37894736842105264,95,parulpandey_coronavirus-cases-in-india
13,1,0,0,0,12,2,1,1,csv,1,0,0,utf-8,1,0,0,14,14,196,0.400990099009901,0.04317931793179317,0.0,0.0,0.0959747176980781,0.09024468032779728,0.1092994701072146,0.05688219558219557,0.07142857142857142,0.6091950254628111,0.011428571428571429,0.60718448082432,0,1.2013201320132012,303,volodymyrgavrysh_heart-disease
9,0,0,0,1,0,10,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,0.9938333333333332,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.4,50,anandhuh_latest-covid19-data-of-asian-countries
9,0,0,0,1,0,10,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,1.0,0.0,0.15384615384615385,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.384615384615385,13,anandhuh_covid-in-south-america-latest-data
1,22,0,0,1,2,22,1,1,csv,1,0,0,utf-8,0,0,0,24,24,576,0.9533799533799534,0.05384615384615385,0.0,0.0,519.0180026676578,1.572994579007632,4.525804380333172,4.452038900503581,0.9565217391304348,0.6250330425588158,0.09864914347826087,0.6218277449046677,0,23.630769230769232,195,debasisdotcom_parkinson-disease-detection
2,6,0,0,23,30,1,1,1,csv,1,0,0,utf-8,0,0,1,31,31,961,1.0,0.012263877735989144,0.9994548626253816,22.2684703433923,520.357613124618,3.3477079476701634,40.787386622518824,5.263775392272416,0.75,0.3564437849217369,0.024437797625,0.35630435383027836,0,31.0,9172,emmanuelfwerr_thyroid-disease-data
5,4,0,0,1,3,7,1,1,csv,1,0,0,utf-8,0,0,0,10,10,100,0.68,0.11666666666666665,0.0,0.0,0.0005463780111111111,0.3903163458222562,0.5143014015147861,0.00800308465608466,0.4444444444444444,0.7861279461279461,0.07144444444444445,0.7782666666666667,0,0.0,100,sajidsaifi_prostate-cancer
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9598110789947933,0.054279749478079335,0.007828810020876827,1.2,0.0,0.0,0.0,0.0,0.0,0.9374392909510131,0.0,0.9369500220100156,0,0.28500000000000003,1916,canggih_indonesian-food-recipes
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,0,5,5,25,0.9830486542443064,0.04606625258799172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389110652929805,0.0,0.9384250864807189,0,0.365,1932,canggih_indonesian-food-recipes
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9471191551770113,0.05221518987341772,0.006856540084388186,1.04,0.0,0.0,0.0,0.0,0.0,0.945714349331463,0.0,0.9452155548434185,0,0.735,1896,canggih_indonesian-food-recipes
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9466281615259271,0.05720122574055159,0.008171603677221655,1.28,0.0,0.0,0.0,0.0,0.0,0.955732623206916,0.0,0.9552445064432733,0,0.34,1958,canggih_indonesian-food-recipes
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9599495586861135,0.044836272040302265,0.0005037783375314861,0.04,0.0,0.0,0.0,0.0,0.0,0.9357819736735191,0.0,0.9353105469865304,0,0.155,1985,canggih_indonesian-food-recipes
