n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
2,0,0,0,0,1,2,1,1,csv,1,0,0,utf-8,0,0,0,3,3,9,0.9619548213503535,0.00006257430698955009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13045481183822094,0.0,0.13045073027849882,0,0.579,31962,arkhoshghalb_twitter-sentiment-analysis-hatred-speech
0,0,0,0,0,2,0,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.0,0.09931948722217598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986405247455463,0.0,0.9986301334972856,0,0.608,96104,csanhueza_the-marvel-universe-social-network
0,0,0,0,0,2,0,1,0,csv,1,0,0,utf-8,1,0,0,2,2,4,0.0,0.012305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997302561045122,0.0,0.9973005664400036,0,1.034,500000,csanhueza_the-marvel-universe-social-network
0,0,0,0,0,1,1,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,1.0,0.00010476689366160294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4470788963203736,0.0,0.44705547678677904,0,0.222,19090,csanhueza_the-marvel-universe-social-network
3,0,0,1,0,0,8,1,2,csv,1,0,0,utf-8,0,0,1,8,8,64,0.7280496784628334,0.0,0.9219874515593283,948.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.367999999999999,43352,austinreese_trump-tweets
3,0,0,1,0,3,6,1,3,csv,1,0,0,utf-8,0,0,1,9,9,81,0.7829953147544703,0.38289106166828835,1.0,1173.9382716049383,0.0,0.0,0.0,0.0,0.0,0.39555107045854704,0.0,0.39551413325907386,0,11.394,41122,austinreese_trump-tweets
2,0,0,0,0,2,5,1,1,csv,1,0,0,utf-8,0,0,1,7,7,49,0.8264000000000001,0.018249743062692704,0.027,0.5510204081632654,0.0,0.0,0.0,0.0,0.0,0.8869638845194401,0.0,0.8860651463808545,0,0.511,1000,surajjha101_top-youtube-channels-data
8,2,0,0,0,13,2,1,2,csv,1,0,0,utf-8,1,0,1,15,15,225,0.9641530805511197,0.004648937996199102,0.029552195616002315,14.497777777777776,4265.891692061994,0.6229148688773821,5.904614573559544,8.727715178128742,0.2,0.5772753473841884,0.01649772037414038,0.5772648971795757,0,5.115,55292,kenjee_ken-jee-youtube-data
9,6,0,1,0,1,18,1,1,csv,1,0,0,utf-8,0,0,1,19,19,361,0.8395214460937555,0.19196428571428573,0.013392857142857142,0.0110803324099723,31413243.562634144,2.122626710560177,27.038677944977948,23.48695356454128,0.4,0.9530749519538757,0.05230658558,0.948820153061224,0,13.841487828315184,224,kenjee_ken-jee-youtube-data
2,0,0,0,0,3,4,1,1,csv,1,0,0,utf-8,0,0,1,7,7,49,0.890844478582961,0.010774739583333331,0.00009765625,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.7398516599114497,0.0,0.7397794087727868,0,1.9949999999999999,10240,kenjee_ken-jee-youtube-data
8,2,0,0,0,12,2,1,1,csv,1,0,0,utf-8,0,0,1,14,14,196,0.9801692154556149,0.0033405747218919397,0.012042160973385662,13.744897959183673,3636.989603106687,0.6723141717685646,8.871370623955585,7.327191486271185,0.2,0.5897394472292495,0.015822392261453228,0.5897341749669267,0,5.109999999999999,111857,kenjee_ken-jee-youtube-data
4,0,0,0,0,3,2,1,0,csv,1,0,0,utf-8,0,0,0,5,5,25,0.64625,0.03916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440434419381788,0.0,0.6424333333333333,0,0.65,400,rakeshrau_social-network-ads
1,0,0,0,0,3,6,1,0,csv,1,0,0,utf-8,1,0,1,9,9,81,0.8012082928409457,0.05580583277307052,0.7657142857142857,13.246913580246915,0.0,0.0,0.0,0.0,0.0,0.8527042765781628,0.0,0.8509163093402083,0,1.629,1050,ramjasmaurya_top-1000-social-media-channels
0,0,0,0,0,3,5,1,0,csv,1,0,0,utf-8,0,0,1,8,8,64,0.8063828396322779,0.05376145977857703,0.718,13.375,0.0,0.0,0.0,0.0,0.0,0.860715145648349,0.0,0.8590766464335106,0,1.476829417773238,1000,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,1,7,1,1,csv,1,0,0,utf-8,0,0,1,8,8,64,0.7142847132847133,0.143,0.001,0.015625,0.0,0.0,0.0,0.0,0.0,0.9754274274274274,0.0,0.9744519999999973,0,0.9447527527527528,1000,ramjasmaurya_top-1000-social-media-channels
0,0,0,0,0,1,6,1,0,csv,1,0,0,utf-8,1,0,1,7,7,49,0.6461606546426185,0.126,0.002,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.9758898898898899,0.0,0.9749139999999977,0,0.7222064128256513,1000,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,3,7,1,0,csv,1,0,0,utf-8,1,0,1,10,10,100,0.6867239732569246,0.03850283951684972,0.7917860553963706,12.47,0.0,0.0,0.0,0.0,0.0,0.8132006235989371,0.0,0.8115641311022713,0,1.2300000000000002,1047,ramjasmaurya_top-1000-social-media-channels
0,0,0,0,0,2,6,1,0,csv,1,0,0,utf-8,1,0,1,8,8,64,0.6895444317700955,0.031996531469822634,0.428,10.703125,0.0,0.0,0.0,0.0,0.0,0.8253181465041954,0.0,0.8242527604144512,0,1.1253146967837233,1000,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,3,6,1,1,csv,1,0,0,utf-8,0,0,1,9,9,81,0.8379677200135917,0.05560578121981632,0.674,9.098765432098766,0.0,0.0,0.0,0.0,0.0,0.8665534660953012,0.0,0.8650685966587929,0,1.6764587155963302,1000,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,3,6,1,1,csv,1,0,0,utf-8,0,0,1,9,9,81,0.8483220858895705,0.052730467742415583,0.669,9.074074074074073,0.0,0.0,0.0,0.0,0.0,0.8606097998704781,0.0,0.8591543370159348,0,1.6260000000000001,1000,ramjasmaurya_top-1000-social-media-channels
0,0,0,0,0,3,5,1,0,csv,1,0,0,utf-8,1,0,1,8,8,64,0.7834428960936789,0.05565338898166428,0.7172211350293543,13.453125,0.0,0.0,0.0,0.0,0.0,0.8638533750788837,0.0,0.8622708430569429,0,1.3568835341365464,1022,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,1,7,1,1,csv,1,0,0,utf-8,0,0,0,8,8,64,0.7215714285714288,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768428428428428,0.0,0.9758659999999968,0,0.888,1000,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,1,7,1,1,csv,1,0,0,utf-8,0,1,1,8,8,64,0.7124285714285713,0.144,0.000999000999000999,0.125,0.0,0.0,0.0,0.0,0.0,0.9747087087087087,0.0,0.9737339999999978,0,0.864,1001,ramjasmaurya_top-1000-social-media-channels
0,0,0,0,0,1,6,1,0,csv,1,0,0,utf-8,1,0,1,7,7,49,0.6479579922301765,0.13803376365441908,0.0019860973187686196,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.9773158467269867,0.0,0.9763453245355989,0,0.665,1007,ramjasmaurya_top-1000-social-media-channels
