n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
3,2,0,0,0,5,4,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5041528239202657,0.01727574750830565,0.0,0.0,20.044326458268664,1.3087506966867668,7.978580634632712,1.4499911999999968,0.4,0.39396677740863784,0.0583,0.39265791768302777,0,1.7641196013289038,301,nehalbirla_vehicle-dataset-from-cardekho
3,0,0,0,0,7,1,1,0,csv,1,0,0,utf-8,1,0,0,8,8,64,0.3435483870967742,0.04137590520079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408008203987868,0.0,0.6406531704401656,0,5.0,4340,nehalbirla_vehicle-dataset-from-cardekho
4,0,0,0,0,12,1,1,0,csv,1,0,0,utf-8,1,0,1,13,13,169,0.2531988188976378,0.030375963279779178,0.027312992125984252,6.50887573964497,0.0,0.0,0.0,0.0,0.0,0.7229756733872351,0.0,0.7228855081063416,0,8.527999999999999,8128,nehalbirla_vehicle-dataset-from-cardekho
7,1,0,0,0,17,3,1,0,csv,1,0,0,utf-8,0,0,1,20,20,400,0.40731746802655006,0.046651051348711586,0.08984944147644487,1.8625,28.525093814135314,0.10654318206784098,0.043896303939272185,1.2618018695014661,0.125,0.7406657002096295,0.00107125,0.7402970642972883,0,14.7,2059,nehalbirla_vehicle-dataset-from-cardekho
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5148575178102737,0.002852322031174675,0.0,0.0,28.007440836100525,0.5075117050671462,2.9602401259236575,1.5422592790519367,0.3333333333333333,0.752411631962148,0.003087666666666667,0.7523411021878731,0,2.3129999999999997,10668,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5501808737593915,0.0028356765208634237,0.0,0.0,163.70309617425542,1.7465496609839672,20.473305334824207,1.5146565131562533,0.3333333333333333,0.7225705454617241,0.0030431666666666667,0.7225035228714762,0,2.718,10781,adityadesai13_used-car-dataset-ford-and-mercedes
3,1,0,0,0,5,2,1,1,csv,1,0,0,utf-8,1,0,0,7,7,49,0.647473711208002,0.0024621697871249036,0.0,0.0,0.05946447326936372,0.8087215223865992,4.414785039711727,0.02421962224695163,0.25,0.5079067122103509,0.0065,0.5077764463185297,0,1.589,3899,adityadesai13_used-car-dataset-ford-and-mercedes
3,1,0,0,0,5,2,1,1,csv,1,0,0,utf-8,1,0,0,7,7,49,0.5464796479647964,0.00121012101210121,0.0,0.0,0.04003926327726109,0.12608987202317015,-0.17321882659301313,0.12463535331541602,0.25,0.4363969436860552,0.0055,0.4363169295783019,0,2.142,5454,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,8,1,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.7530197606457,0.025786251043696074,0.0,0.0,17.11944096955603,0.4161267783463005,3.7873399248393533,1.1230599811081328,0.3333333333333333,0.7074973446289555,0.0021753333333333334,0.7074579626448544,0,3.5909999999999997,17965,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5912551440329218,0.00411522633744856,0.0,0.0,27.055663904412484,0.4423124332647657,6.66722660932308,1.1008188317827623,0.3333333333333333,0.7323432132400598,0.0048066666666666666,0.732192525336101,0,3.627,4860,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5389130269075387,0.0026787756035412105,0.0,0.0,38.66014820813855,0.7154765055440672,4.215453215585168,1.5580421569786151,0.3333333333333333,0.7205169820389961,0.0030241666666666668,0.7204620603999964,0,2.088,13119,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5535343864688048,0.002940573069821514,0.0,0.0,24.172657770216418,0.676907231218165,7.017203075383775,1.1142874153460618,0.3333333333333333,0.722800379393202,0.0040935,0.7226850450419346,0,3.267,6267,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5797714455327991,0.0037102997922232113,0.0,0.0,41.825729354887955,0.7198380211291503,6.23408358386346,1.2723485919052007,0.3333333333333333,0.7486523285432064,0.00607,0.7485412195600448,0,3.5549999999999997,6738,adityadesai13_used-car-dataset-ford-and-mercedes
1,0,0,0,0,8,3,1,1,csv,1,0,0,utf-8,1,1,1,11,11,121,0.768752097076353,0.010595442127175168,0.6984523215177234,33.46280991735537,0.0,0.0,0.0,0.0,0.0,0.6349277880346604,0.0,0.6347093029292572,0,10.769,4006,adityadesai13_used-car-dataset-ford-and-mercedes
1,0,0,0,0,8,3,1,1,csv,1,0,0,utf-8,1,1,1,11,11,121,0.7312332761559738,0.009475897139986408,0.766773733047823,54.595041322314046,0.0,0.0,0.0,0.0,0.0,0.5970513293297477,0.0,0.5969085744386914,0,10.922999999999998,5604,adityadesai13_used-car-dataset-ford-and-mercedes
4,2,0,0,0,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.48881308685446007,0.0017605633802816902,0.0,0.0,16.687665998099813,0.3715825217352274,5.232478230546817,1.0620710805160782,0.3333333333333333,0.6554042529084467,0.0016706666666666667,0.6553561745448236,0,3.186,13632,adityadesai13_used-car-dataset-ford-and-mercedes
