,n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,num_pii_entities,proxy,n_bytes_total,since_last_update
17,0,5,0,0,0,0,10,1,0,0,0,1,10,10,100,0.7328231871722404,0.0,0.4604966139954853,2.1,2450.2525933786046,-0.07754962596285994,-1.0061786226716456,26.00814876999997,1.0,0.0,0.07116125999999998,0.0,9.909706546275396,32.956994732949205,9952,41859660.24227142
18,1,0,0,0,0,3,8,1,0,0,0,1,11,11,121,0.5989740896358544,0.07777777777777778,0.3111111111111111,0.5041322314049587,0.0,0.0,0.0,0.0,0.0,0.6992551210428305,0.0,0.6953703703703704,1.4666666666666666,34.99246586130161,5374,52282343.24227142
19,2,0,0,1,0,15,0,1,2,1,0,1,15,15,225,0.0,0.07111639259823395,1.0,1015.8533333333332,0.0,0.0,0.0,0.0,0.0,0.49936634283534725,0.0,0.4993453428417893,0.03,34.985751390254634,790186,100364923.24227142
20,6,4,0,0,0,13,2,1,1,0,0,0,15,15,225,0.5058139534883721,0.04683688404618637,0.0,0.0,2.7272618245734797,0.3200572438727642,0.5483057653077366,0.6490975108386637,0.4,0.796230470649075,0.02296,0.7953887893904614,1.0782241014799154,34.985751390254634,13701,32179300.242271423
21,32,0,0,0,0,33,1,1,1,1,0,0,34,34,1156,0.988,0.004060606060606063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15325317301269203,0.0,0.15294666666666668,1.7680000000000002,35.308046000509364,42863,69518182.24227142
22,32,0,0,0,0,33,1,1,0,0,0,0,34,34,1156,1.0,0.0010873910610058359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14829431526792725,0.0,0.14821605969258803,1.4620000000000002,35.308046000509364,42863,69518182.24227142
23,4,6,0,0,0,14,1,1,1,0,0,1,15,15,225,0.6936150666054203,0.020840242514153434,0.5916398713826366,198.08444444444447,0.5600124180091182,9.032408366809856,332.2967899815201,0.1017667668337904,0.6,0.8897264935662961,0.010588,0.889654715476808,2.19,26.104776653542327,446802,196054093.24227142
24,16,82,0,0,0,55,51,1,1,0,0,0,106,106,11236,0.3952528379772962,0.07181818181818185,0.0,0.0,3.143596116562553,1.4816444627268195,4.984795163889575,0.4514964595069211,0.8367346938775511,0.8603158652207396,0.07055581632653062,0.8580518761017372,0.2789473684210526,32.2111935103168,1170298,17738402.242271423
25,16,82,0,0,0,55,51,1,1,0,0,1,106,106,11236,0.4021502109150235,0.07621299616539741,0.013157894736842105,0.001156995372018512,4.781856526937762,1.4104832188350078,4.106125463611968,0.4649119623333658,0.8367346938775511,0.8636073322984962,0.0722932653061225,0.8613338264250111,0.0,32.2111935103168,1170298,17738402.242271423
26,18,6,0,0,0,38,2,1,1,0,0,0,40,40,1600,0.6318713450292398,0.0268082486919052,0.0,0.0,0.08872994305888914,0.030910086571787964,0.24756732338246568,0.08851214452333572,0.25,0.6880514384148524,0.07002878687346158,0.6879508460992936,7.840000000000001,32.2111935103168,1170298,17738402.242271423
27,21,0,0,0,0,26,2,1,1,0,0,0,28,28,784,0.593421052631579,0.03198380566801619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7082728894491149,0.0,0.7064090134242489,1.3263157894736841,32.2111935103168,1170298,17738402.242271423
28,21,0,0,0,0,26,2,1,1,0,0,1,28,28,784,0.6117830856825441,0.036032388663967616,0.002631578947368421,0.0012755102040816326,0.0,0.0,0.0,0.0,0.0,0.7106790723510622,0.0,0.708808864265928,24.16842105263158,32.2111935103168,1170298,17738402.242271423
29,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.25526315789473686,0.032177033492822964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206290792945425,0.0,0.7187326869806093,0.0,32.2111935103168,1170298,17738402.242271423
30,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.25526315789473686,0.03229665071770335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7223258133340067,0.0,0.720424955930496,0.0,32.2111935103168,1170298,17738402.242271423
